N имп.   Опозд.   Uзад [В]   Uимп [В]   Диап.I   Превыш.   Перегр.   Iимп [А]
1        0        1000       949        0        0         0         0.000000
2        0        1010       954        0        0         0         0.000000
3        0        1020       964        0        0         0         0.000000
4        0        1030       974        0        0         0         0.000008
5        0        1040       984        0        0         0         0.000000
6        0        1050       994        0        0         0         0.000000
7        0        1060       1004       0        0         0         0.000000
8        0        1070       1014       0        0         0         0.000000
9        0        1080       1024       0        0         0         0.000000
10       0        1090       1034       0        0         0         0.000000
11       0        1100       1044       0        0         0         0.000000
12       0        1110       1054       0        0         0         0.000000
13       0        1120       1059       0        0         0         0.000008
14       0        1130       1074       0        0         0         0.000000
15       0        1140       1079       0        0         0         0.000000
16       0        1150       1089       0        0         0         0.000000
17       0        1160       1099       0        0         0         0.000000
18       0        1170       1109       0        0         0         0.000008
19       0        1180       1119       0        0         0         0.000008
20       0        1190       1129       0        0         0         0.000000
21       0        1200       1139       0        0         0         0.000000
22       0        1210       1149       0        0         0         0.000008
23       0        1220       1159       0        0         0         0.000015
24       0        1230       1169       0        0         0         0.000000
25       0        1240       1179       0        0         0         0.000000
26       0        1250       1189       0        0         0         0.000000
27       0        1260       1194       0        0         0         0.000000
28       0        1270       1204       0        0         0         0.000000
29       0        1280       1214       0        0         0         0.000008
30       0        1290       1229       0        0         0         0.000000
31       0        1300       1234       0        0         0         0.000015
32       0        1310       1244       0        0         0         0.000023
33       0        1320       1254       0        0         0         0.000045
34       0        1330       1264       0        0         0         0.000060
35       0        1340       1274       0        0         0         0.000060
36       0        1350       1279       0        0         0         0.000075
37       0        1360       1294       0        0         0         0.000098
38       0        1370       1299       0        0         0         0.000120
39       0        1380       1314       0        0         0         0.000143
40       0        1390       1319       0        0         0         0.000158
41       0        1400       1334       0        0         0         0.000172
42       0        1410       1339       0        0         0         0.000195
43       0        1420       1349       0        0         0         0.000218
44       0        1430       1354       0        0         0         0.000226
45       0        1440       1369       0        0         0         0.000262
46       0        1450       1379       0        0         0         0.000278
47       0        1460       1389       0        0         0         0.000301
48       0        1470       1399       0        0         0         0.000337
49       0        1480       1404       0        0         0         0.000353
50       0        1490       1419       0        0         0         0.000375
51       0        1500       1424       0        0         0         0.000458
