N имп.   Опозд.   Uзад [В]   Uимп [В]   Диап.I   Превыш.   Перегр.   Iимп [А]
1        0        1500       1405       1        0         0         0.018820
2        0        1510       1434       0        0         0         0.000015
3        0        1520       1444       0        0         0         0.000023
4        0        1530       1454       0        0         0         0.000030
5        0        1540       1464       0        0         0         0.000045
6        0        1550       1474       0        0         0         0.000045
7        0        1560       1484       0        0         0         0.000045
8        0        1570       1494       0        0         0         0.000053
9        0        1580       1504       0        0         0         0.000060
10       0        1590       1514       0        0         0         0.000075
11       0        1600       1519       0        0         0         0.000075
12       0        1610       1534       0        0         0         0.000090
13       0        1620       1538       0        0         0         0.000098
14       0        1630       1548       0        0         0         0.000112
15       0        1640       1558       0        0         0         0.000112
16       0        1650       1568       0        0         0         0.000128
17       0        1660       1578       0        0         0         0.000120
18       0        1670       1588       0        0         0         0.000135
19       0        1680       1593       0        0         0         0.000150
20       0        1690       1608       0        0         0         0.000150
21       0        1700       1618       0        0         0         0.000158
22       0        1710       1628       0        0         0         0.000179
23       0        1720       1633       0        0         0         0.000211
24       0        1730       1643       0        0         0         0.000218
25       0        1740       1658       0        0         0         0.000239
26       0        1750       1663       0        0         0         0.000179
27       0        1760       1673       0        0         0         0.000195
28       0        1770       1683       0        0         0         0.000211
29       0        1780       1693       0        0         0         0.000233
30       0        1790       1698       0        0         0         0.000247
31       0        1800       1713       0        0         0         0.000262
32       0        1810       1718       0        0         0         0.000271
33       0        1820       1733       0        0         0         0.000278
34       0        1830       1738       0        0         0         0.000301
35       0        1840       1753       0        0         0         0.000322
36       0        1850       1735       1        0         0         0.024310
37       0        1860       1768       0        0         0         0.000233
38       0        1870       1778       0        0         0         0.000247
39       0        1880       1788       0        0         0         0.000247
40       0        1890       1793       0        0         0         0.000255
41       0        1900       1803       0        0         0         0.000286
42       0        1910       1818       0        0         0         0.000301
43       0        1920       1828       0        0         0         0.000322
44       0        1930       1838       0        0         0         0.000330
45       0        1940       1843       0        0         0         0.000367
46       0        1950       1858       0        0         0         0.000382
47       0        1960       1868       0        0         0         0.000405
48       0        1970       1878       0        0         0         0.000420
49       0        1980       1883       0        0         0         0.000429
50       0        1990       1898       0        0         0         0.000473
51       0        2000       1902       0        0         0         0.000510
52       0        2010       1912       0        0         0         0.000525
53       0        2020       1922       0        0         0         0.000569
54       0        2030       1932       0        0         0         0.000608
55       0        2040       1942       0        0         0         0.000637
56       0        2050       1952       0        0         0         0.000676
57       0        2060       1957       0        0         0         0.000704
58       0        2070       1972       0        0         0         0.000720
59       0        2080       1976       0        0         0         0.000766
60       0        2090       1986       0        0         0         0.000811
61       0        2100       1996       0        0         0         0.000855
62       0        2110       2006       0        0         0         0.000923
63       0        2120       2016       0        0         0         0.000968
64       0        2130       1996       1        0         0         0.028620
65       0        2140       2011       1        0         0         0.029300
66       0        2150       2011       1        0         0         0.035530
67       0        2160       2056       0        0         0         0.001118
68       0        2170       2066       0        0         0         0.001133
69       0        2180       2071       0        0         0         0.001193
70       0        2190       2086       0        0         0         0.001260
71       0        2200       2091       0        0         0         0.001305
72       0        2210       2101       0        0         0         0.001328
73       0        2220       2078       1        0         0         0.039780
74       0        2230       2080       1        0         0         0.044390
