N имп.   Опозд.   Uзад [В]   Uимп [В]   Диап.I   Превыш.   Перегр.   Iимп [А]
1        0        2200       2098       0        0         0         0.000473
2        0        2200       2098       0        0         0         0.000397
3        0        2200       2098       0        0         0         0.000382
4        0        2200       2098       0        0         0         0.000367
5        0        2200       2098       0        0         0         0.000375
6        0        2200       2093       0        0         0         0.000382
7        0        2200       2093       0        0         0         0.000390
8        0        2200       2098       0        0         0         0.000382
9        0        2200       2098       0        0         0         0.000375
10       0        2200       2098       0        0         0         0.000375
11       0        2200       2098       0        0         0         0.000390
12       0        2200       2098       0        0         0         0.000375
13       0        2200       2093       0        0         0         0.000367
14       0        2200       2098       0        0         0         0.000353
15       0        2200       2092       0        0         0         0.000525
16       0        2200       2098       0        0         0         0.000405
17       0        2200       2098       0        0         0         0.000397
18       0        2200       2098       0        0         0         0.000405
19       0        2200       2093       0        0         0         0.000413
20       0        2200       2098       0        0         0         0.000420
21       0        2200       2093       0        0         0         0.000405
22       0        2200       2098       0        0         0         0.000397
23       0        2200       2093       0        0         0         0.000420
24       0        2200       2093       0        0         0         0.000420
25       0        2200       2098       0        0         0         0.000367
26       0        2200       2098       0        0         0         0.000353
27       0        2200       2093       0        0         0         0.000367
28       0        2200       2098       0        0         0         0.000361
29       0        2200       2098       0        0         0         0.000367
30       0        2200       2093       0        0         0         0.000375
31       0        2200       2098       0        0         0         0.000367
32       0        2200       2098       0        0         0         0.000390
33       0        2200       2098       0        0         0         0.000390
34       0        2200       2098       0        0         0         0.000390
35       0        2200       2098       0        0         0         0.000375
36       0        2200       2098       0        0         0         0.000397
37       0        2200       2098       0        0         0         0.000382
38       0        2200       2093       0        0         0         0.000382
39       0        2200       2093       0        0         0         0.000382
40       0        2200       2098       0        0         0         0.000382
41       0        2200       2098       0        0         0         0.000375
42       0        2200       2093       0        0         0         0.000382
43       0        2200       2093       0        0         0         0.000361
44       0        2200       2098       0        0         0         0.000390
45       0        2200       2098       0        0         0         0.000367
46       0        2200       2098       0        0         0         0.000367
47       0        2200       2098       0        0         0         0.000382
48       0        2200       2098       0        0         0         0.000375
49       0        2200       2098       0        0         0         0.000375
50       0        2200       2098       0        0         0         0.000382
51       0        2200       2098       0        0         0         0.000382
52       0        2200       2098       0        0         0         0.000382
53       0        2200       2093       0        0         0         0.000390
54       0        2200       2093       0        0         0         0.000390
55       0        2200       2093       0        0         0         0.000367
56       0        2200       2098       0        0         0         0.000382
57       0        2200       2098       0        0         0         0.000375
58       0        2200       2093       0        0         0         0.000382
59       0        2200       2093       0        0         0         0.000382
60       0        2200       2098       0        0         0         0.000390
61       0        2200       2093       0        0         0         0.000375
62       0        2200       2098       0        0         0         0.000375
63       0        2200       2098       0        0         0         0.000375
64       0        2200       2098       0        0         0         0.000390
65       0        2200       2098       0        0         0         0.000375
66       0        2200       2098       0        0         0         0.000405
67       0        2200       2093       0        0         0         0.000405
