N имп.   Опозд.   Uзад [В]   Uимп [В]   Диап.I   Превыш.   Перегр.   Iимп [А]
1        0        2200       2097       0        0         0         0.000518
2        0        2200       2092       0        0         0         0.000548
3        0        2200       2092       0        0         0         0.000585
4        0        2200       2092       0        0         0         0.000593
5        0        2200       2092       0        0         0         0.000548
6        0        2200       2097       0        0         0         0.000555
7        0        2200       2097       0        0         0         0.000555
8        0        2200       2097       0        0         0         0.000555
9        0        2200       2092       0        0         0         0.000540
10       0        2200       2097       0        0         0         0.000555
11       0        2200       2097       0        0         0         0.000555
12       0        2200       2092       0        0         0         0.000563
13       0        2200       2092       0        0         0         0.000569
14       0        2200       2092       0        0         0         0.000569
15       0        2200       2092       0        0         0         0.000563
16       0        2200       2092       0        0         0         0.000585
17       0        2200       2092       0        0         0         0.000585
18       0        2200       2097       0        0         0         0.000585
19       0        2200       2097       0        0         0         0.000585
20       0        2200       2097       0        0         0         0.000585
21       0        2200       2097       0        0         0         0.000616
22       0        2200       2092       0        0         0         0.000548
23       0        2200       2092       0        0         0         0.000585
24       0        2200       2092       0        0         0         0.000585
25       0        2200       2097       0        0         0         0.000569
26       0        2200       2097       0        0         0         0.000569
27       0        2200       2097       0        0         0         0.000563
28       0        2200       2092       0        0         0         0.000578
29       0        2200       2097       0        0         0         0.000563
30       0        2200       2092       0        0         0         0.000578
31       0        2200       2092       0        0         0         0.000593
32       0        2200       2092       0        0         0         0.000608
33       0        2200       2097       0        0         0         0.000585
34       0        2200       2092       0        0         0         0.000616
35       0        2200       2092       0        0         0         0.000608
36       0        2200       2092       0        0         0         0.000600
37       0        2200       2092       0        0         0         0.000616
38       0        2200       2097       0        0         0         0.000623
39       0        2200       2092       0        0         0         0.000623
40       0        2200       2097       0        0         0         0.000616
41       0        2200       2092       0        0         0         0.000631
42       0        2200       2092       0        0         0         0.000623
43       0        2200       2097       0        0         0         0.000616
44       0        2200       2097       0        0         0         0.000637
45       0        2200       2097       0        0         0         0.000631
46       0        2200       2092       0        0         0         0.000644
47       0        2200       2097       0        0         0         0.000631
48       0        2200       2092       0        0         0         0.000637
49       0        2200       2097       0        0         0         0.000652
50       0        2200       2097       0        0         0         0.000652
51       0        2200       2097       0        0         0         0.000644
52       0        2200       2092       0        0         0         0.000652
53       0        2200       2097       0        0         0         0.000668
54       0        2200       2092       0        0         0         0.000652
55       0        2200       2092       0        0         0         0.000644
56       0        2200       2097       0        0         0         0.000652
57       0        2200       2092       0        0         0         0.000644
58       0        2200       2097       0        0         0         0.000652
59       0        2200       2097       0        0         0         0.000644
60       0        2200       2092       0        0         0         0.000637
61       0        2200       2092       0        0         0         0.000644
62       0        2200       2092       0        0         0         0.000637
63       0        2200       2092       0        0         0         0.000644
64       0        2200       2092       0        0         0         0.000652
65       0        2200       2092       0        0         0         0.000631
66       0        2200       2097       0        0         0         0.000631
67       0        2200       2092       0        0         0         0.000644
68       0        2200       2092       0        0         0         0.000644
69       0        2200       2097       0        0         0         0.000652
70       0        2200       2092       0        0         0         0.000652
71       0        2200       2097       0        0         0         0.000644
72       0        2200       2097       0        0         0         0.000652
73       0        2200       2092       0        0         0         0.000644
74       0        2200       2092       0        0         0         0.000637
75       0        2200       2092       0        0         0         0.000644
76       0        2200       2097       0        0         0         0.000637
77       0        2200       2092       0        0         0         0.000644
78       0        2200       2092       0        0         0         0.000652
79       0        2200       2092       0        0         0         0.000652
80       0        2200       2092       0        0         0         0.000661
81       0        2200       2097       0        0         0         0.000668
82       0        2200       2092       0        0         0         0.000668
83       0        2200       2092       0        0         0         0.000676
84       0        2200       2092       0        0         0         0.000668
85       0        2200       2097       0        0         0         0.000683
86       0        2200       2092       0        0         0         0.000668
87       0        2200       2092       0        0         0         0.000683
88       0        2200       2092       0        0         0         0.000668
89       0        2200       2092       0        0         0         0.000668
90       0        2200       2097       0        0         0         0.000668
91       0        2200       2097       0        0         0         0.000668
92       0        2200       2092       0        0         0         0.000668
93       0        2200       2092       0        0         0         0.000676
94       0        2200       2092       0        0         0         0.000676
95       0        2200       2097       0        0         0         0.000683
96       0        2200       2092       0        0         0         0.000683
97       0        2200       2092       0        0         0         0.000691
98       0        2200       2097       0        0         0         0.000683
99       0        2200       2092       0        0         0         0.000683
100      0        2200       2097       0        0         0         0.000691
101      0        2200       2097       0        0         0         0.000676
102      0        2200       2097       0        0         0         0.000676
103      0        2200       2097       0        0         0         0.000661
104      0        2200       2097       0        0         0         0.000676
105      0        2200       2097       0        0         0         0.000691
106      0        2200       2092       0        0         0         0.000683
107      0        2200       2097       0        0         0         0.000683
108      0        2200       2097       0        0         0         0.000698
109      0        2200       2092       0        0         0         0.000676
110      0        2200       2092       0        0         0         0.000698
111      0        2200       2092       0        0         0         0.000727
112      0        2200       2091       0        0         0         0.000758
113      0        2200       2097       0        0         0         0.000698
114      0        2200       2092       0        0         0         0.000712
115      0        2200       2092       0        0         0         0.000691
116      0        2200       2097       0        0         0         0.000704
117      0        2200       2092       0        0         0         0.000698
118      0        2200       2092       0        0         0         0.000712
119      0        2200       2097       0        0         0         0.000691
120      0        2200       2097       0        0         0         0.000691
121      0        2200       2097       0        0         0         0.000676
122      0        2200       2092       0        0         0         0.000668
123      0        2200       2097       0        0         0         0.000676
124      0        2200       2097       0        0         0         0.000698
125      0        2200       2097       0        0         0         0.000683
126      0        2200       2092       0        0         0         0.000712
127      0        2200       2097       0        0         0         0.000736
128      0        2200       2097       0        0         0         0.000736
129      0        2200       2092       0        0         0         0.000727
130      0        2200       2092       0        0         0         0.000727
131      0        2200       2097       0        0         0         0.000727
132      0        2200       2097       0        0         0         0.000727
133      0        2200       2092       0        0         0         0.000704
134      0        2200       2092       0        0         0         0.000704
135      0        2200       2092       0        0         0         0.000691
136      0        2200       2097       0        0         0         0.000691
137      0        2200       2097       0        0         0         0.000676
138      0        2200       2097       0        0         0         0.000691
139      0        2200       2092       0        0         0         0.000704
140      0        2200       2097       0        0         0         0.000704
141      0        2200       2097       0        0         0         0.000736
142      0        2200       2092       0        0         0         0.000720
143      0        2200       2097       0        0         0         0.000704
144      0        2200       2097       0        0         0         0.000720
145      0        2200       2092       0        0         0         0.000712
146      0        2200       2097       0        0         0         0.000704
147      0        2200       2092       0        0         0         0.000698
148      0        2200       2097       0        0         0         0.000691
149      0        2200       2097       0        0         0         0.000698
150      0        2200       2097       0        0         0         0.000698
151      0        2200       2092       0        0         0         0.000698
152      0        2200       2092       0        0         0         0.000712
153      0        2200       2097       0        0         0         0.000720
154      0        2200       2092       0        0         0         0.000712
155      0        2200       2097       0        0         0         0.000683
156      0        2200       2092       0        0         0         0.000691
157      0        2200       2092       0        0         0         0.000704
158      0        2200       2092       0        0         0         0.000712
159      0        2200       2097       0        0         0         0.000704
160      0        2200       2097       0        0         0         0.000704
161      0        2200       2097       0        0         0         0.000704
162      0        2200       2092       0        0         0         0.000683
163      0        2200       2097       0        0         0         0.000676
164      0        2200       2092       0        0         0         0.000668
165      0        2200       2092       0        0         0         0.000668
166      0        2200       2097       0        0         0         0.000683
167      0        2200       2097       0        0         0         0.000698
168      0        2200       2092       0        0         0         0.000683
169      0        2200       2097       0        0         0         0.000683
170      0        2200       2092       0        0         0         0.000683
171      0        2200       2092       0        0         0         0.000676
