N имп.   Опозд.   Uзад [В]   Uимп [В]   Диап.I   Превыш.   Перегр.   Iимп [А]
1        0        2200       2097       0        0         0         0.000563
2        0        2200       2097       0        0         0         0.000593
3        0        2200       2097       0        0         0         0.000555
4        0        2200       2092       0        0         0         0.000563
5        0        2200       2097       0        0         0         0.000555
6        0        2200       2092       0        0         0         0.000585
7        0        2200       2092       0        0         0         0.000585
8        0        2200       2097       0        0         0         0.000578
9        0        2200       2097       0        0         0         0.000593
10       0        2200       2097       0        0         0         0.000569
11       0        2200       2092       0        0         0         0.000555
12       0        2200       2092       0        0         0         0.000563
13       0        2200       2092       0        0         0         0.000563
14       0        2200       2092       0        0         0         0.000563
15       0        2200       2097       0        0         0         0.000569
16       0        2200       2097       0        0         0         0.000569
17       0        2200       2097       0        0         0         0.000569
18       0        2200       2097       0        0         0         0.000563
19       0        2200       2097       0        0         0         0.000563
20       0        2200       2097       0        0         0         0.000578
21       0        2200       2097       0        0         0         0.000600
22       0        2200       2097       0        0         0         0.000600
23       0        2200       2092       0        0         0         0.000623
24       0        2200       2097       0        0         0         0.000608
25       0        2200       2097       0        0         0         0.000616
26       0        2200       2097       0        0         0         0.000616
27       0        2200       2092       0        0         0         0.000637
28       0        2200       2097       0        0         0         0.000631
29       0        2200       2097       0        0         0         0.000631
30       0        2200       2092       0        0         0         0.000616
31       0        2200       2097       0        0         0         0.000631
32       0        2200       2097       0        0         0         0.000637
33       0        2200       2092       0        0         0         0.000661
34       0        2200       2092       0        0         0         0.000668
35       0        2200       2092       0        0         0         0.000661
36       0        2200       2097       0        0         0         0.000652
37       0        2200       2097       0        0         0         0.000668
38       0        2200       2097       0        0         0         0.000676
39       0        2200       2097       0        0         0         0.000683
40       0        2200       2097       0        0         0         0.000661
41       0        2200       2092       0        0         0         0.000691
42       0        2200       2097       0        0         0         0.000661
43       0        2200       2092       0        0         0         0.000691
44       0        2200       2097       0        0         0         0.000676
45       0        2200       2097       0        0         0         0.000698
46       0        2200       2097       0        0         0         0.000683
47       0        2200       2097       0        0         0         0.000668
48       0        2200       2097       0        0         0         0.000676
49       0        2200       2097       0        0         0         0.000661
50       0        2200       2097       0        0         0         0.000720
51       0        2200       2092       0        0         0         0.000683
52       0        2200       2092       0        0         0         0.000691
53       0        2200       2092       0        0         0         0.000661
54       0        2200       2092       0        0         0         0.000661
