N имп.   Опозд.   Uзад [В]   Uимп [В]   Диап.I   Превыш.   Перегр.   Iимп [А]
1        0        2200       2092       0        0         0         0.000518
2        0        2200       2092       0        0         0         0.000569
3        0        2200       2092       0        0         0         0.000555
4        0        2200       2092       0        0         0         0.000548
5        0        2200       2097       0        0         0         0.000563
6        0        2200       2097       0        0         0         0.000569
7        0        2200       2097       0        0         0         0.000578
8        0        2200       2092       0        0         0         0.000569
9        0        2200       2097       0        0         0         0.000578
10       0        2200       2092       0        0         0         0.000585
11       0        2200       2097       0        0         0         0.000578
12       0        2200       2092       0        0         0         0.000585
13       0        2200       2092       0        0         0         0.000600
14       0        2200       2092       0        0         0         0.000608
15       0        2200       2092       0        0         0         0.000616
16       0        2200       2092       0        0         0         0.000631
17       0        2200       2092       0        0         0         0.000637
18       0        2200       2092       0        0         0         0.000623
19       0        2200       2097       0        0         0         0.000631
20       0        2200       2092       0        0         0         0.000631
21       0        2200       2092       0        0         0         0.000623
22       0        2200       2097       0        0         0         0.000637
23       0        2200       2092       0        0         0         0.000608
24       0        2200       2092       0        0         0         0.000631
25       0        2200       2092       0        0         0         0.000623
26       0        2200       2097       0        0         0         0.000623
27       0        2200       2092       0        0         0         0.000661
28       0        2200       2092       0        0         0         0.000644
29       0        2200       2097       0        0         0         0.000631
30       0        2200       2092       0        0         0         0.000644
31       0        2200       2092       0        0         0         0.000637
32       0        2200       2097       0        0         0         0.000644
33       0        2200       2097       0        0         0         0.000644
34       0        2200       2092       0        0         0         0.000637
35       0        2200       2097       0        0         0         0.000631
36       0        2200       2092       0        0         0         0.000652
37       0        2200       2092       0        0         0         0.000623
38       0        2200       2092       0        0         0         0.000637
39       0        2200       2092       0        0         0         0.000644
40       0        2200       2097       0        0         0         0.000652
41       0        2200       2097       0        0         0         0.000644
42       0        2200       2092       0        0         0         0.000661
43       0        2200       2097       0        0         0         0.000652
44       0        2200       2097       0        0         0         0.000644
45       0        2200       2092       0        0         0         0.000644
46       0        2200       2092       0        0         0         0.000644
47       0        2200       2097       0        0         0         0.000661
48       0        2200       2092       0        0         0         0.000661
49       0        2200       2097       0        0         0         0.000661
50       0        2200       2097       0        0         0         0.000661
51       0        2200       2092       0        0         0         0.000661
52       0        2200       2092       0        0         0         0.000661
53       0        2200       2092       0        0         0         0.000661
54       0        2200       2097       0        0         0         0.000668
55       0        2200       2092       0        0         0         0.000668
56       0        2200       2092       0        0         0         0.000661
57       0        2200       2092       0        0         0         0.000652
58       0        2200       2092       0        0         0         0.000661
59       0        2200       2092       0        0         0         0.000668
60       0        2200       2097       0        0         0         0.000676
61       0        2200       2092       0        0         0         0.000668
62       0        2200       2092       0        0         0         0.000683
63       0        2200       2097       0        0         0         0.000683
64       0        2200       2092       0        0         0         0.000683
65       0        2200       2092       0        0         0         0.000683
66       0        2200       2092       0        0         0         0.000676
67       0        2200       2097       0        0         0         0.000683
68       0        2200       2097       0        0         0         0.000683
69       0        2200       2092       0        0         0         0.000676
70       0        2200       2092       0        0         0         0.000668
71       0        2200       2097       0        0         0         0.000683
72       0        2200       2097       0        0         0         0.000683
73       0        2200       2092       0        0         0         0.000683
74       0        2200       2092       0        0         0         0.000683
75       0        2200       2092       0        0         0         0.000683
76       0        2200       2092       0        0         0         0.000683
77       0        2200       2097       0        0         0         0.000691
78       0        2200       2092       0        0         0         0.000683
79       0        2200       2097       0        0         0         0.000691
80       0        2200       2097       0        0         0         0.000691
81       0        2200       2092       0        0         0         0.000698
82       0        2200       2097       0        0         0         0.000683
83       0        2200       2097       0        0         0         0.000698
84       0        2200       2097       0        0         0         0.000698
85       0        2200       2097       0        0         0         0.000683
86       0        2200       2097       0        0         0         0.000683
87       0        2200       2092       0        0         0         0.000683
88       0        2200       2097       0        0         0         0.000683
89       0        2200       2092       0        0         0         0.000683
90       0        2200       2097       0        0         0         0.000676
91       0        2200       2092       0        0         0         0.000691
92       0        2200       2097       0        0         0         0.000704
93       0        2200       2092       0        0         0         0.000704
94       0        2200       2092       0        0         0         0.000698
95       0        2200       2097       0        0         0         0.000704
96       0        2200       2097       0        0         0         0.000683
97       0        2200       2097       0        0         0         0.000720
98       0        2200       2092       0        0         0         0.000720
99       0        2200       2092       0        0         0         0.000704
100      0        2200       2092       0        0         0         0.000683
101      0        2200       2092       0        0         0         0.000676
102      0        2200       2097       0        0         0         0.000683
103      0        2200       2092       0        0         0         0.000691
104      0        2200       2097       0        0         0         0.000712
105      0        2200       2092       0        0         0         0.000704
106      0        2200       2092       0        0         0         0.000712
107      0        2200       2092       0        0         0         0.000691
108      0        2200       2097       0        0         0         0.000698
109      0        2200       2092       0        0         0         0.000712
110      0        2200       2097       0        0         0         0.000704
111      0        2200       2097       0        0         0         0.000712
112      0        2200       2092       0        0         0         0.000691
113      0        2200       2092       0        0         0         0.000683
114      0        2200       2097       0        0         0         0.000683
115      0        2200       2092       0        0         0         0.000698
116      0        2200       2092       0        0         0         0.000676
117      0        2200       2097       0        0         0         0.000676
118      0        2200       2097       0        0         0         0.000676
119      0        2200       2097       0        0         0         0.000676
120      0        2200       2097       0        0         0         0.000661
121      0        2200       2092       0        0         0         0.000676
122      0        2200       2097       0        0         0         0.000661
123      0        2200       2092       0        0         0         0.000637
124      0        2200       2092       0        0         0         0.000644
125      0        2200       2097       0        0         0         0.000652
126      0        2200       2092       0        0         0         0.000668
127      0        2200       2092       0        0         0         0.000652
128      0        2200       2097       0        0         0         0.000652
129      0        2200       2097       0        0         0         0.000661
130      0        2200       2097       0        0         0         0.000652
131      0        2200       2092       0        0         0         0.000661
132      0        2200       2092       0        0         0         0.000652
133      0        2200       2092       0        0         0         0.000644
134      0        2200       2097       0        0         0         0.000644
135      0        2200       2097       0        0         0         0.000668
136      0        2200       2092       0        0         0         0.000661
137      0        2200       2097       0        0         0         0.000652
138      0        2200       2092       0        0         0         0.000668
