N имп.   Опозд.   Uзад [В]   Uимп [В]   Диап.I   Превыш.   Перегр.   Iимп [А]
150      0        2200       2097       0        0         0         0.000652
151      0        2200       2097       0        0         0         0.000661
152      0        2200       2097       0        0         0         0.000683
153      0        2200       2097       0        0         0         0.000668
154      0        2200       2097       0        0         0         0.000661
155      0        2200       2092       0        0         0         0.000661
156      0        2200       2097       0        0         0         0.000652
157      0        2200       2092       0        0         0         0.000668
158      0        2200       2092       0        0         0         0.000661
159      0        2200       2097       0        0         0         0.000661
160      0        2200       2097       0        0         0         0.000668
161      0        2200       2097       0        0         0         0.000676
162      0        2200       2092       0        0         0         0.000676
163      0        2200       2097       0        0         0         0.000676
164      0        2200       2092       0        0         0         0.000676
165      0        2200       2092       0        0         0         0.000668
166      0        2200       2092       0        0         0         0.000652
167      0        2200       2092       0        0         0         0.000652
168      0        2200       2092       0        0         0         0.000652
169      0        2200       2092       0        0         0         0.000644
170      0        2200       2097       0        0         0         0.000631
171      0        2200       2097       0        0         0         0.000661
172      0        2200       2097       0        0         0         0.000631
173      0        2200       2097       0        0         0         0.000644
174      0        2200       2097       0        0         0         0.000637
175      0        2200       2097       0        0         0         0.000637
176      0        2200       2097       0        0         0         0.000637
177      0        2200       2097       0        0         0         0.000661
178      0        2200       2097       0        0         0         0.000661
179      0        2200       2097       0        0         0         0.000652
180      0        2200       2097       0        0         0         0.000631
181      0        2200       2092       0        0         0         0.000637
182      0        2200       2092       0        0         0         0.000637
183      0        2200       2092       0        0         0         0.000637
184      0        2200       2092       0        0         0         0.000637
185      0        2200       2097       0        0         0         0.000631
186      0        2200       2092       0        0         0         0.000631
187      0        2200       2097       0        0         0         0.000637
188      0        2200       2097       0        0         0         0.000631
189      0        2200       2097       0        0         0         0.000631
190      0        2200       2097       0        0         0         0.000623
191      0        2200       2097       0        0         0         0.000631
192      0        2200       2097       0        0         0         0.000644
193      0        2200       2097       0        0         0         0.000661
194      0        2200       2097       0        0         0         0.000652
195      0        2200       2097       0        0         0         0.000637
196      0        2200       2097       0        0         0         0.000631
197      0        2200       2092       0        0         0         0.000637
198      0        2200       2097       0        0         0         0.000631
199      0        2200       2097       0        0         0         0.000631
200      0        2200       2097       0        0         0         0.000637
201      0        2200       2092       0        0         0         0.000631
202      0        2200       2097       0        0         0         0.000631
203      0        2200       2097       0        0         0         0.000644
204      0        2200       2097       0        0         0         0.000637
205      0        2200       2097       0        0         0         0.000644
206      0        2200       2097       0        0         0         0.000644
207      0        2200       2097       0        0         0         0.000652
208      0        2200       2097       0        0         0         0.000668
209      0        2200       2097       0        0         0         0.000676
210      0        2200       2097       0        0         0         0.000712
211      0        2200       2096       0        0         0         0.000840
212      0        2200       2092       0        0         0         0.000668
213      0        2200       2097       0        0         0         0.000661
214      0        2200       2097       0        0         0         0.000644
215      0        2200       2092       0        0         0         0.000661
216      0        2200       2092       0        0         0         0.000668
217      0        2200       2092       0        0         0         0.000676
218      0        2200       2092       0        0         0         0.000668
219      0        2200       2092       0        0         0         0.000661
220      0        2200       2097       0        0         0         0.000661
221      0        2200       2097       0        0         0         0.000668
222      0        2200       2097       0        0         0         0.000683
223      0        2200       2092       0        0         0         0.000683
224      0        2200       2097       0        0         0         0.000683
225      0        2200       2097       0        0         0         0.000676
226      0        2200       2097       0        0         0         0.000698
227      0        2200       2092       0        0         0         0.000720
228      0        2200       2097       0        0         0         0.000727
229      0        2200       2092       0        0         0         0.000691
230      0        2200       2092       0        0         0         0.000704
231      0        2200       2097       0        0         0         0.000691
232      0        2200       2092       0        0         0         0.000704
233      0        2200       2097       0        0         0         0.000712
234      0        2200       2092       0        0         0         0.000720
235      0        2200       2097       0        0         0         0.000736
236      0        2200       2092       0        0         0         0.000736
237      0        2200       2097       0        0         0         0.000704
